products,reactants,predictions
CCCN(C(C)=O)c1ccc(C(=O)N2CCN(CCc3ccc(Cl)cc3)CC2)cc1,CC(=O)Nc1ccc(C(=O)N2CCN(CCc3ccc(Cl)cc3)CC2)cc1.CCCI,"CCCN(C(C)=O)c1ccc(C(=O)O)cc1.Clc1ccc(CCN2CCNCC2)cc1,CC(=O)Nc1ccc(C(=O)N2CCN(CCc3ccc(Cl)cc3)CC2)cc1.CCCI,CCCN(C(C)=O)c1ccc(C(=O)Cl)cc1.Clc1ccc(CCN2CCNCC2)cc1,CC(=O)Cl.CCCNc1ccc(C(=O)N2CCN(CCc3ccc(Cl)cc3)CC2)cc1,CCCN(C(C)=O)c1ccc(C(=O)O)cc1.Clc1ccc(CCN2CCNCC2)cc1,CC(=O)Nc1ccc(C(=O)O)cc1.Clc1ccc(CCN2CCNCC2)cc1,CC(=O)Nc1ccc(C(=O)N2CCN(CCc3ccc(Cl)cc3)CC2)cc1.CCC=O,CCCN(C(C)=O)c1ccc(C(=O)[O-])cc1.Clc1ccc(CCN2CCNCC2)cc1,CCCN(C(C)=O)c1ccc(C(=O)Cl)cc1.Clc1ccc(CCN2CCNCC2)cc1,C=CCN(C(C)=O)c1ccc(C(=O)N2CCN(CCc3ccc(Cl)cc3)CC2)cc1"
CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc(-c4ccc(OCc5ccccc5)nc4)c3)sc2c1-c1ccc(Cl)cc1,CC1(C)OB(c2ccc(OCc3ccccc3)nc2)OC1(C)C.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc(Cl)c3)sc2c1-c1ccc(Cl)cc1,"Brc1ccc(OCc2ccccc2)nc1.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc(Cl)c3)sc2c1-c1ccc(Cl)cc1,CC1(C)OB(c2ccc(OCc3ccccc3)nc2)OC1(C)C.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc(Cl)c3)sc2c1-c1ccc(Cl)cc1,Brc1ccc(OCc2ccccc2)nc1.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc([Mg+])c3)sc2c1-c1ccc(Cl)cc1,Brc1ccc(OCc2ccccc2)nc1.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc(Br)c3)sc2c1-c1ccc(Cl)cc1,Brc1ccc(OCc2ccccc2)nc1.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc(I)c3)sc2c1-c1ccc(Cl)cc1,CC1(C)OB(c2ccnc(-c3ccnc(Cl)c3)c2)OC1(C)C.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(Br)sc2c1-c1ccc(Cl)cc1,Brc1ccc(OCc2ccccc2)nc1.CC1(C)OB(c2ccnc(Cl)c2)OC1(C)C,Brc1ccc(OCc2ccccc2)nc1.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc([Sn](C)(C)C)c3)sc2c1-c1ccc(Cl)cc1,CC1(C)OB(c2ccnc(Cl)c2)OC1(C)C.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc(Cl)c3)sc2c1-c1ccc(Cl)cc1,CC1(C)OB(c2ccnc(OCc3ccccc3)c2)OC1(C)C.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc(Cl)c3)sc2c1-c1ccc(Cl)cc1"
O=C(Nc1c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc1C(F)(F)F)c1cccc(NC(=O)c2cccnc2Cl)c1,Nc1cccc(C(=O)Nc2c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc2C(F)(F)F)c1.O=C(Cl)c1cccnc1Cl,"Nc1c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc1C(F)(F)F.O=C(Cl)c1cccc(NC(=O)c2cccnc2Cl)c1,Nc1c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc1C(F)(F)F.O=C(O)c1cccc(NC(=O)c2cccnc2Cl)c1,Nc1c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc1C(F)(F)F.O=C(Cl)c1cccc(NC(=O)c2cccnc2Cl)c1,Nc1c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc1C(F)(F)F.O=C(F)c1cccc(NC(=O)c2cccnc2Cl)c1,Nc1c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc1C(F)(F)F.O=C([O-])c1cccc(NC(=O)c2cccnc2Cl)c1,,Nc1c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc1C(F)(F)F.O=C(O)c1cccc(NC(=O)c2cccnc2Cl)c1,Nc1c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc1C(F)(F)F.O=C(Br)c1cccc(NC(=O)c2cccnc2Cl)c1,,Nc1c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc1C(F)(F)F.O=C(Cl)c1cccc(NC(=O)c2cccnc2Cl)c1"
Cc1c(-c2ccc(Cl)cc2)c2cc(OC(C)(C)C(N)=O)ccc2n1C,Cc1c(-c2ccc(Cl)cc2)c2cc(OC(C)(C)C(=O)O)ccc2n1C.N,"Cc1c(-c2ccc(Cl)cc2)c2cc(OC(C)(C)C(=O)O)ccc2n1C.N,CCOC(=O)C(C)(C)Oc1ccc2c(c1)c(-c1ccc(Cl)cc1)c(C)n2C.N,COC(=O)C(C)(C)Oc1ccc2c(c1)c(-c1ccc(Cl)cc1)c(C)n2C.N,CI.Cc1c(-c2ccc(Cl)cc2)c2cc(OC(C)(C)C(N)=O)ccc2n1C,CN.Cc1c(-c2ccc(Cl)cc2)c2cc(OC(C)(C)C(=O)O)ccc2n1C,CI.Cc1c(-c2ccc(Cl)cc2)c2cc(OC(C)(C)C(N)=O)ccc2n1C,Cc1c(-c2ccc(Cl)cc2)c2cc(OC(C)(C)C(=O)O)ccc2n1C.N,CCOC(=O)C(C)(C)Oc1ccc2c(c1)c(-c1ccc(Cl)cc1)c(C)n2C.[NH4+],Cc1c(-c2ccc(Cl)cc2)c2cc(OC(C)(C)C(=O)Cl)ccc2n1C.N,Cc1c(-c2ccc(Cl)cc2)c2cc(OC(C)(C)C(=O)O)ccc2n1C.N"
CC(C)C[C@H]1[C@@H](OC2CCCCO2)CC(=O)N1C(=O)OC(C)(C)C,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CC(C)CC1NC(=O)CC1OC1CCCCO1,"C1=COCCC1.CC(C)C[C@H]1NC(=O)C[C@H]1O,C1=COCCC1.CC(C)C[C@H]1NC(=O)C[C@@H]1O,C1=COCCC1.CC(C)C[C@@H]1[C@H](O)CC(=O)N1C(=O)OC(C)(C)C,C1=COCCC1.CC(C)C[C@H]1[C@@H](O)CC(=O)N1C(=O)OC(C)(C)C,C1=COCCC1.CC(C)C[C@H]1[C@H](O)CC(=O)N1C(=O)OC(C)(C)C,C1=COCCC1.CC(C)C[C@@H]1[C@@H](O)CC(=O)N1C(=O)OC(C)(C)C,C1=COCCC1.CC(C)C[C@@H]1NC(=O)C[C@H]1O,C1=COCCC1.CC(C)C[C@H]1NC(=O)C[C@H]1OC1CCCCO1,C1=COCCC1.CC(C)C[C@H]1[C@H](O)CC(=O)N1C(=O)OC(C)(C)C,C1=COCCC1.CC(C)C[C@@H]1NC(=O)C[C@@H]1O"
COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1OCCCNC(=O)OC(C)(C)C,CC(C)(C)OC(=O)NCCCBr.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O,"CC(C)(C)OC(=O)NCCCBr.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O,CC(C)(C)OC(=O)NCCCO.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O,COC(=O)NCCCBr.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O,CC(C)(C)OC(=O)NCCCI.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O,COC(=O)NCCCOS(C)(=O)=O.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O,CC(C)(C)OC(=O)NCCCBr.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O,CCC(C)(C)OC(=O)NCCCBr.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O,CC(C)(C)OC(=O)NCCCOS(C)(=O)=O.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O,CC(C)(C)OC(=O)NCCCBr.COc1cc(Br)ccc1O,COC(=O)NCCCO.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O"
Cc1nc(C)c(CN2Cc3ncnc(Nc4cnc5ccccc5c4)c3C2)s1,Cc1nc(C)c(C=O)s1.c1ccc2ncc(Nc3ncnc4c3CNC4)cc2c1,"Cc1nc(C)c(C=O)s1.c1ccc2ncc(Nc3ncnc4c3CNC4)cc2c1,Cc1nc(C)c(C=O)s1.c1cnc2cc(Nc3ncnc4c3CNC4)cnc2c1,Cc1nc(C)c(CO)s1.c1ccc2ncc(Nc3ncnc4c3CNC4)cc2c1,Cc1nc(C)c(C(=O)N2Cc3ncnc(Nc4cnc5ccccc5c4)c3C2)s1,,C[Zn+].Cc1nc(C)c(CN2Cc3ncnc(Nc4cnc5ccccc5c4)c3C2)s1,Cc1cc(C)c(C=O)s1.c1ccc2ncc(Nc3ncnc4c3CNC4)cc2c1,,Cc1nc(C)c(CCl)s1.c1ccc2ncc(Nc3ncnc4c3CNC4)cc2c1,"
CN(C)c1ccc(Nc2cnc(N(C)C)nc2)cc1,CN(C)c1ccc(N)cc1.CN(C)c1ncc(Br)cn1,"CN(C)c1ccc(Br)cc1.CN(C)c1ncc(N)cn1,CN(C)c1ccc(N)cc1.CN(C)c1ncc(Br)cn1,CBr.CN(C)c1ccc(Nc2cnc(N(C)C)nc2)cc1,CN(C)c1ccc(I)cc1.CN(C)c1ncc(N)cn1,CN(C)c1ccc(N)cc1.CN(C)c1ncc(Br)cn1,,C=O.CN(C)c1ccc(Nc2cnc(N(C)C)nc2)cc1,CI.CN(C)c1ccc(Nc2cnc(N(C)C)nc2)cc1,CCN(C)c1ccc(Br)cc1.CN(C)c1ncc(N)cn1,CF.CN(C)c1ccc(Nc2cnc(N(C)C)nc2)cc1"
Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,O=[N+]([O-])c1cccc(Nc2nccc(-c3cccnc3)n2)c1,"CC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,Clc1nccc(-c2cccnc2)n1.Nc1cccc(N)c1,O=[N+]([O-])c1cccc(Nc2nccc(-c3cccnc3)n2)c1,O=[N+]([O-])c1cccc(Nc2nccc(-c3cccnc3)n2)c1,Fc1nccc(-c2cccnc2)n1.Nc1cccc(N)c1,Clc1nccc(-c2cccnc2)n1.Nc1cccc(N)c1,Nc1cccc(Nc2nccc(Cl)n2)c1.OB(O)c1cccnc1,,[N-]=[N+]=Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,Nc1cccc(N)c1.O=C(CCCl)c1cccnc1"
COC(=O)c1cccc(OCC(=O)O)c1,COC(=O)c1cccc(OCC(=O)OC(C)(C)C)c1,"COC(=O)c1cccc(OCC(=O)OC(C)(C)C)c1,COC(=O)c1cccc(OCC(=O)OCc2ccccc2)c1,COC(=O)c1cccc(O)c1.O=C(O)CBr,CO.O=C(O)COc1cccc(C(=O)O)c1,CO.O=C(O)COc1cccc(C(=O)O)c1,COC(=O)c1cccc(O)c1.O=C(O)CCl,COC(=O)COc1cccc(C(=O)OC)c1,COC(=O)c1cccc(O)c1.O=C(O)CBr,COC(=O)c1cccc(NCC(=O)OC(C)(C)C)c1,COC(=O)c1cccc(I)c1.O=C(O)CO"
