products,reactants,predictions
Cc1cc(NC(=O)CC(=O)O)cc(C)c1Oc1ccc(O)c(S(=O)(=O)c2ccc(F)cc2)c1,COC(=O)CC(=O)Nc1cc(C)c(Oc2ccc(O)c(S(=O)(=O)c3ccc(F)cc3)c2)c(C)c1,"CCOC(=O)CC(=O)Nc1cc(C)c(Oc2ccc(O)c(S(=O)(=O)c3ccc(F)cc3)c2)c(C)c1,CCCCOC(=O)CC(=O)Nc1cc(C)c(Oc2ccc(O)c(S(=O)(=O)c3ccc(F)cc3)c2)c(C)c1,CCCOC(=O)CC(=O)Nc1cc(C)c(Oc2ccc(O)c(S(=O)(=O)c3ccc(F)cc3)c2)c(C)c1,COc1ccc(Oc2c(C)cc(NC(=O)CC(=O)O)cc2C)cc1S(=O)(=O)c1ccc(F)cc1,CCOC(=O)CC(=O)O.Cc1cc(N)cc(C)c1Oc1ccc(O)c(S(=O)(=O)c2ccc(F)cc2)c1,CCOC(=O)CC(=O)Cl.Cc1cc(N)cc(C)c1Oc1ccc(O)c(S(=O)(=O)c2ccc(F)cc2)c1,CCOc1ccc(Oc2c(C)cc(NC(=O)CC(=O)O)cc2C)cc1S(=O)(=O)c1ccc(F)cc1,CCCCOc1ccc(Oc2c(C)cc(NC(=O)CC(=O)O)cc2C)cc1S(=O)(=O)c1ccc(F)cc1,COC(=O)CC(=O)Nc1cc(C)c(Oc2ccc(O)c(S(=O)(=O)c3ccc(F)cc3)c2)c(C)c1,"
CCOCc1cc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)nn1C,CCOCc1cc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)n[nH]1.CI,"CCI.Cn1nc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)cc1CO,CCOCc1cc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)n[nH]1.CI,CCBr.Cn1nc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)cc1CO,CCO.Cn1nc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)cc1CO,CCO.Cn1nc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)cc1CCl,CCO.Cn1nc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)cc1CBr,CC[O-].Cn1nc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)cc1CCl,CCCl.Cn1nc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)cc1CO,C=COCc1cc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)nn1C.CNN,CC[O-].Cn1nc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)c(=O)n(C)c2n3C)cc1CBr"
CCOC(=O)c1nc(C)c2sc(-c3ccccc3)nc2c1O,CCOC(=O)c1nc(Br)c2sc(-c3ccccc3)nc2c1O.C[Sn](C)(C)C,"CCOC(=O)c1nc(Br)c2sc(-c3ccccc3)nc2c1O.C[Sn](C)(C)C,CCOC(=O)c1nc(I)c2sc(-c3ccccc3)nc2c1O.C[Sn](C)(C)C,CCI.Cc1nc(C(=O)O)c(O)c2nc(-c3ccccc3)sc12,C=COC(=O)c1nc(Br)c2sc(-c3ccccc3)nc2c1O.C[Sn](C)(C)C,CCO.Cc1nc(C(=O)O)c(O)c2nc(-c3ccccc3)sc12,CCOC(=O)c1nc(Cl)c2sc(-c3ccccc3)nc2c1O.C[Sn](C)(C)C,CCCOC(=O)c1nc(Br)c2sc(-c3ccccc3)nc2c1O.C[Sn](C)(C)C,CCOC(=O)c1nc(Br)c2sc(-c3ccccc3)nc2c1O.C[Sn](C)(C)Cl,CCNC(=O)c1nc(Br)c2sc(-c3ccccc3)nc2c1O.C[Sn](C)(C)C,CCBr.Cc1nc(C(=O)O)c(O)c2nc(-c3ccccc3)sc12"
O=C(O)Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1,COC(=O)Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1,"CCOC(=O)Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1,COC(=O)Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1,CC(C)(C)OC(=O)Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1,CNOC(=O)Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1,,CNC(=O)Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1,O=C(Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1)OCc1ccccc1,Nc1nnc(-c2cccc(Oc3cccc(CC(=O)O)c3)c2)s1.OB(O)c1ccc(Cl)c(Cl)c1,C[Sn](C)(C)c1nnc(Nc2ccc(Cl)c(Cl)c2)s1.O=C(O)Cc1cccc(Oc2cccc(Br)c2)c1,O=C(Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1)OCc1ccccc1"
CCOC(=O)C1[C@@H]2[C@@H](OS(N)(=O)=O)[C@@H]3OC(C)(C)OC[C@H]3O[C@H]12,CCOC(=O)C1[C@@H]2[C@@H](O)[C@@H]3OC(C)(C)OC[C@H]3O[C@H]12.NS(=O)(=O)Cl,"CCOC(=O)C1[C@H]2[C@@H](O)[C@H]3OC(C)(C)OC[C@H]3O[C@@H]12.NS(=O)(=O)Cl,CCOC(=O)C1[C@H]2[C@H](O)[C@H]3OC(C)(C)OC[C@H]3O[C@@H]12.NS(=O)(=O)Cl,CCOC(=O)C1C2OC3COC(C)(C)OC3C(O)C21.NS(=O)(=O)Cl,CCOC(=O)C1C2O[C@@H]3COC(C)(C)O[C@@H]3[C@H](O)[C@H]21.NS(=O)(=O)Cl,CCOC(=O)C1C2O[C@@H]3COC(C)(C)O[C@@H]3[C@@H](O)[C@H]21.NS(=O)(=O)Cl,CCOC(=O)C1[C@@H]2[C@@H](O)[C@H]3OC(C)(C)OC[C@H]3O[C@@H]12.NS(=O)(=O)Cl,,,,"
O=S(=O)(c1ccc(Nc2ccnc3cc(Cl)ccc23)cc1)N1CCN(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1,Clc1ccc2c(Cl)ccnc2c1.Nc1ccc(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)cc1,"Clc1ccc2c(Cl)ccnc2c1.Nc1ccc(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)cc1,Clc1ccc2c(Cl)ccnc2c1.Nc1ccc(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)cc1,Clc1ccc2c(Cl)ccnc2c1.Nc1ccc(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)cc1,Nc1ccnc2cc(Cl)ccc12.O=S(=O)(c1ccc(I)cc1)N1CCN(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1,Nc1ccc(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)cc1.Oc1ccnc2cc(Cl)ccc12,Nc1ccc(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)cc1.O=S(=O)(Cl)c1ccnc2cc(Cl)ccc12,Nc1ccc(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)cc1.O=S(=O)(Cl)c1ccnc2cc(Cl)ccc12,Nc1ccc(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)cc1.OB(O)c1ccnc2cc(Cl)ccc12,Nc1ccc(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)cc1.Oc1ccnc2cc(Cl)ccc12,Nc1ccc(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)cc1.OB(O)c1ccnc2cc(Cl)ccc12"
CCOC(=O)C(C)Oc1ccc(F)cc1Br,CCOC(=O)C(C)Br.Oc1ccc(F)cc1Br,"CCOC(=O)C(C)Br.Oc1ccc(F)cc1Br,CCOC(=O)C(C)O.Oc1ccc(F)cc1Br,CCOC(=O)C(C)Oc1ccc(F)cc1Br.O,CCOC(=O)C(C)Cl.Oc1ccc(F)cc1Br,CCOC(=O)C(C)I.Oc1ccc(F)cc1Br,C=COC(=O)C(C)Br.Oc1ccc(F)cc1Br,CCO.CCOC(=O)C(C)Oc1ccc(F)cc1Br,CCOC(=O)C(C)Br.Oc1ccc(F)cc1Br,,CCOC(=O)C(C)Br.Oc1ccc(F)cc1Br"
CC(=O)OCCn1c(C)cc(C(=O)c2ccc(Cl)cc2)c1C,CC(=O)OCCn1c(C)ccc1C.O=C(Cl)c1ccc(Cl)cc1,",CC(=O)OCCBr.Cc1cc(C(=O)c2ccc(Cl)cc2)c(C)[nH]1,,CC(=O)[O-].Cc1cc(C(=O)c2ccc(Cl)cc2)c(C)n1CCCl,,CC(=O)[O-].Cc1cc(C(=O)c2ccc(Cl)cc2)c(C)n1CCO,CC(=O)OCCCl.Cc1cc(C(=O)c2ccc(Cl)cc2)c(C)[nH]1,CC(=O)[O-].Cc1cc(C(=O)c2ccc(Cl)cc2)c(C)n1CCBr,CC(=O)Cl.Cc1cc(C(=O)c2ccc(Cl)cc2)c(C)n1CCO,"
C=CCCCc1ccc(C=O)cc1,C=CCCCc1ccc(Br)cc1.CN(C)C=O,"C=CCCCc1ccc(CO)cc1,C=CCCCc1ccc(Br)cc1.CN(C)C=O,C=CCCCc1ccccc1.CN(C)C=O,C=CCCCBr.O=Cc1ccc(Br)cc1,C=CCCCBr.Cc1ccc(C=O)cc1,C=CCCCBr.O=Cc1ccc(B(O)O)cc1,C=CCCCc1ccc(O)cc1.CN(C)C=O,C=CCCCBr.O=Cc1ccc(CBr)cc1,C=CCCCBr.CCCCc1ccc(C=O)cc1,C=CCCCB(O)O.O=Cc1ccc(Br)cc1"
COc1ccc(C(=O)Nc2ccccc2)c2c1oc1ccc(NC(C)=O)cc12,CC(=O)Cl.COc1ccc(C(=O)Nc2ccccc2)c2c1oc1ccc(N)cc12,"CC(=O)OC(C)=O.COc1ccc(C(=O)Nc2ccccc2)c2c1oc1ccc(N)cc12,CC(=O)Cl.COc1ccc(C(=O)Nc2ccccc2)c2c1oc1ccc(N)cc12,CC(=O)O.COc1ccc(C(=O)Nc2ccccc2)c2c1oc1ccc(N)cc12,COc1ccc(C(=O)O)c2c1oc1ccc(NC(C)=O)cc12.Nc1ccccc1,CC(N)=O.COc1ccc(C(=O)Nc2ccccc2)c2c1oc1ccc(Br)cc12,CC(=O)[O-].COc1ccc(C(=O)Nc2ccccc2)c2c1oc1ccc(N)cc12,CC(N)=O.COc1ccc(C(=O)Nc2ccccc2)c2c1oc1ccc(I)cc12,CC(=O)Br.COc1ccc(C(=O)Nc2ccccc2)c2c1oc1ccc(N)cc12,COc1ccc(C(=O)O)c2c1oc1ccc(NC(C)=O)cc12.Nc1ccccc1,CC(=O)OC(C)=O.COc1ccc(C(=O)Nc2ccccc2)c2c1oc1ccc(N)cc12"
