products,reactants,predictions
OCc1ccc(Cl)nc1,COC(=O)c1ccc(Cl)nc1,"O=Cc1ccc(Cl)nc1,O=C(O)c1ccc(Cl)nc1,COC(=O)c1ccc(Cl)nc1,O=Cc1ccc(Cl)nc1,,O=Cc1ccc(Cl)nc1,C=O.OCc1ccc(Cl)nc1,,O=C[Se]Cc1ccc(Cl)nc1,O=C[Zn+].OCc1ccc(Cl)nc1"
COC(=O)c1ccc(C)cc1,CO.Cc1ccc(C(=O)Cl)cc1,"CO.Cc1ccc(C(=O)O)cc1,CI.Cc1ccc(C(=O)O)cc1,CO.Cc1ccc(C(=O)Cl)cc1,CO.Cc1ccc(Cl)cc1,CO.Cc1ccc(C(=O)O)cc1,CO.Cc1ccc(CO)cc1,CO.Cc1ccc(C(=O)F)cc1,CO.Cc1ccc(C(=O)O)cc1,C[O-].Cc1ccc(C(=O)O)cc1,CO.Cc1ccc([N+](=O)[O-])cc1"
COc1ccc([N+](=O)[O-])c(N[C@@H](CSC)C(=O)O)c1,CSC[C@H](Nc1cc(F)ccc1[N+](=O)[O-])C(=O)O.C[O-],"COc1ccc([N+](=O)[O-])c(F)c1.CSC[C@@H](N)C(=O)O,COc1ccc([N+](=O)[O-])c(Cl)c1.CSC[C@@H](N)C(=O)O,,,COC(=O)[C@@H](N)CSC.COc1ccc([N+](=O)[O-])c(F)c1,,COc1ccc([N+](=O)[O-])c(F)c1.CSC[CH]N,COc1ccc([N+](=O)[O-])c(N)c1.CSC[C@@H](N)C(=O)O,COc1ccc([N+](=O)[O-])c(F)c1.CSC[C@H](N)C(=O)O,COc1ccc([N+](=O)[O-])c(F)c1.CSC[C@@H]([NH3+])C(=O)O"
c1ccc(-c2ccc(-c3nc(COc4ccc(CCCn5ccnc5)cc4)co3)o2)cc1,Brc1ccc(-c2nc(COc3ccc(CCCn4ccnc4)cc3)co2)o1.OB(O)c1ccccc1,"ClCc1coc(-c2ccc(-c3ccccc3)o2)n1.Oc1ccc(CCCn2ccnc2)cc1,ClC[Zn+].Oc1ccc(CCCn2ccnc2)cc1,Oc1ccc(CCCn2ccnc2)cc1.[Mg+]CCl,OCc1coc(-c2ccc(-c3ccccc3)o2)n1.Oc1ccc(CCCn2ccnc2)cc1,BrCc1coc(-c2ccc(-c3ccccc3)o2)n1.Oc1ccc(CCCn2ccnc2)cc1,,ClCc1coc(-c2ccc(-c3ccco3)o2)n1.Oc1ccc(CCCn2ccnc2)cc1,,,ClCc1coc(-c2ccc(-c3ccccc3)o2)n1.[O-]c1ccc(CCCn2ccnc2)cc1"
CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(CN)cc1,CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(CNC(=O)OC(C)(C)C)cc1,"CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(CNC(=O)OC(C)(C)C)cc1,CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(C#N)cc1,CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(CNC(=O)C(F)(F)F)cc1,CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(CN2C(=O)c3ccccc3C2=O)cc1,CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(CNC(=O)OCc2ccccc2)cc1,CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(CN=[N+]=[N-])cc1,CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Cl.NCc1ccc(N)cc1,CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(CI)cc1.N,CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(C[N+](=O)[O-])cc1,CC(C)N(CC(O)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(CN=[N+]=[N-])cc1"
CCN(CC)CCOC(=O)[C@H](Cc1ccc(-c2c(C)n(C)c(=O)n(C)c2=O)cc1)NC(=O)c1c(C)cccc1Cl,CCN(CC)CCCl.Cc1cccc(Cl)c1C(=O)N[C@@H](Cc1ccc(-c2c(C)n(C)c(=O)n(C)c2=O)cc1)C(=O)O,"CCN(CC)CCCl.Cc1cccc(Cl)c1C(=O)N[C@@H](Cc1ccc(-c2c(C)n(C)c(=O)n(C)c2=O)cc1)C(=O)O,,,CCN(CC)CCCl.Cc1cccc(Cl)c1C(=O)N[C@@H](C[N+](=O)[O-])C(=O)O,,,CCN(CC)CCCl.Cc1cccc(Cl)c1C(=O)N[C@@H](CB1OC(C)(C)C(C)(C)O1)C(=O)O,CCN(CC)CCCl.Cc1cccc(Cl)c1C(=O)Nc1ccc(-c2c(C)n(C)c(=O)n(C)c2=O)cc1,CCN(CC)CCCl.Cc1cccc(Cl)c1C(=O)N[C@@H](Cc1ccc(-c2c(C)n(C)c(=O)n(C)c2=O)cc1)C(=O)[O-],CCN(CC)CCBr.Cc1cccc(Cl)c1C(=O)N[C@@H](Cc1ccc(-c2c(C)n(C)c(=O)n(C)c2=O)cc1)C(=O)O"
CCOc1ccc2c(c1F)OC1CC(=O)CCC21,CCOc1ccc2c(c1F)OC1CC3(CCC21)OCCO3,"CCOc1ccc2c(c1F)OC1CC3(CCC21)OCCO3,CCOc1ccc2c(c1F)OC1CC3(CCC21)OCCO3,CCOc1ccc2c(c1F)OC1CC3(CC[C@@H]21)OCCO3,CCOc1ccc2c(c1F)OC1CC2CCC2(C1)OCCO2,CCOc1ccc2c(c1F)OC1CC3(CC21)OCCO3,CCOc1ccc2c(c1F)OC1CC3(CC[C@H]21)OCCO3,CCOc1ccc2c(c1F)OC1CC3(OCC)CCC21OCCO3,CCI.O=C1CCC2c3ccc(O)c(F)c3OC2C1,,"
COc1ccccc1CNc1cccn2nc(Nc3ccc(C)nc3)nc12,COc1ccccc1CNc1cccn2nc(Cl)nc12.Cc1ccc(N)cn1,"COc1ccccc1CNc1cccn2nc(Cl)nc12.Cc1ccc(N)cn1,,,COc1ccccc1CNc1cccn2nc(Br)nc12.Cc1ccc(N)cn1,COc1ccccc1CNc1cccn2nc(Cl)nc12.Cc1ccc([NH3+])cn1,COc1ccccc1CNc1cccn2nc(Br)nc12.Cc1ccc(N)cn1,COI.Cc1ccc(Nc2nc3c(NCc4ccccc4O)cccn3n2)cn1,,COc1ccccc1CNc1cccn2nc(Cl)nc12.Cc1ccc(N)cn1,CO[SiH2]c1ccccc1CNc1cccn2nc(Cl)nc12.Cc1ccc(N)cn1"
CN(C)CC(=O)Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1,CNC.O=C(CCl)Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1,"CN(C)CC(=O)Cl.Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1,CNC.O=C(CCl)Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1,CN(C)CC(=O)O.Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1,CN(C)CC(=O)Nc1ccc(Cl)nc1.Oc1ccc2c(c1)CCC(c1ccccc1)O2,Brc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1.CN(C)CC(N)=O,CN[S-].O=C(CCl)Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1,,CN[O-].O=C(CCl)Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1,CN[Cu].O=C(CCl)Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1,CNCC(=O)Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1.CNI"
COc1c(C(=O)NNC(=O)OC(C)(C)C)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)(C)OC(=O)NN.COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,"COC(=O)NNC(=O)OC(C)(C)C.COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,CNNC(=O)OC(C)(C)C.COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,CN(N)C(=O)OC(C)(C)C.COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)(C)OC(=O)NN.COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)(C)OC(=O)NN.COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)(C)OC(=O)NN.COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,COC(=O)NN.COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1.C[Mg+],CC(C)(C)OC(=O)NN.CCOC(=O)c1ccc2c(c(/C=C/c3cccc(F)c3)nn2C(c2ccccc2)(c2ccccc2)c2ccccc2)c1OC,COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1.C[NH3+]"
