products,reactants,predictions
CCCCCCCCCCCCCCCCSCC(COC(c1ccccc1)(c1ccccc1)c1ccccc1)OC,CCCCCCCCCCCCCCCCSCC(O)COC(c1ccccc1)(c1ccccc1)c1ccccc1.CI,"CCCCCCCCCCCCCCCCCSCC(O)COC(c1ccccc1)(c1ccccc1)c1ccccc1.CI,CCCCCCCCCCCCCCCCCCSCC(O)COC(c1ccccc1)(c1ccccc1)c1ccccc1.CI,CCCCCCCCCCCCCCCCCCCSCC(O)COC(c1ccccc1)(c1ccccc1)c1ccccc1.CI,CCCCCCCCCCCCCCCCSCC(O)COC(c1ccccc1)(c1ccccc1)c1ccccc1.CI,CCCCCCCCCCCCCCCCCSCC(O)COC(c1ccccc1)(c1ccccc1)c1ccccc1.CI,CCCCCCCCCCCCCCCCCCSCC(O)COC(c1ccccc1)(c1ccccc1)c1ccccc1.CI,C,CCCCCCCCCCCCCCCCCCCCSCC(O)COC(c1ccccc1)(c1ccccc1)c1ccccc1.CI,CBr.CCCCCCCCCCCCCCCCCSCC(O)COC(c1ccccc1)(c1ccccc1)c1ccccc1,CCCCCCCCCCCCCCCCCCCSCC(O)COC(c1ccccc1)(c1ccccc1)c1ccccc1.CI"
CCn1ncc2c(Cl)c(C(N)=O)cnc21,CCn1ncc2c(Cl)c(C(=O)O)cnc21.N,"CCn1ncc2c(Cl)c(C(=O)O)cnc21.N,CCn1ncc2c(Cl)c(C(=O)OC)cnc21.N,CCn1ncc2c(Cl)c(C(=O)Cl)cnc21.N,CCI.NC(=O)c1cnc2[nH]ncc2c1Cl,CCOC(=O)c1cnc2c(cnn2CC)c1Cl.N,CCOC(=O)c1cnc2c(cnn2CC)c1Cl.N,CCn1ncc2c(Cl)c(C#N)cnc21,CCn1ncc2c(Cl)c(C(=O)O)cnc21.[NH4+],CCn1ncc2c(Cl)c(CO)cnc21.N,C#Cn1ncc2c(Cl)c(C(N)=O)cnc21"
N#Cc1nc(C(=O)N[C@H](CC(=O)O)c2cccnc2)c(O)c2ccc(Oc3ccccc3)cc12,COC(=O)C[C@@H](NC(=O)c1nc(C#N)c2cc(Oc3ccccc3)ccc2c1O)c1cccnc1,"COC(=O)c1nc(C#N)c2cc(Oc3ccccc3)ccc2c1O.N[C@H](CC(=O)O)c1cccnc1,CCOC(=O)c1nc(C#N)c2cc(Oc3ccccc3)ccc2c1O.N[C@H](CC(=O)O)c1cccnc1,CC(C)(C)OC(=O)C[C@@H](NC(=O)c1nc(C#N)c2cc(Oc3ccccc3)ccc2c1O)c1cccnc1,CC(C)(C)OC(=O)C[C@H](NC(=O)c1nc(C#N)c2cc(Oc3ccccc3)ccc2c1O)c1cccnc1,COC(=O)C[C@@H](NC(=O)c1nc(C#N)c2cc(Oc3ccccc3)ccc2c1O)c1cccnc1,COC(=O)C[C@H](NC(=O)c1nc(C#N)c2cc(Oc3ccccc3)ccc2c1O)c1cccnc1,COC(=O)c1nc(C#N)c2cc(Oc3ccccc3)ccc2c1O.N[C@@H](CC(=O)O)c1cccnc1,CCOC(=O)c1nc(C#N)c2cc(Oc3ccccc3)ccc2c1O.N[C@@H](CC(=O)O)c1cccnc1,N#Cc1nc(C(=O)O)c(O)c2ccc(Oc3ccccc3)cc12.N[C@H](CC(=O)O)c1cccnc1,N#Cc1nc(C(=O)N[C@@H](CC(=O)OCc2ccccc2)c2cccnc2)c(O)c2ccc(Oc3ccccc3)cc12"
CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)CO)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(B2OC(C)(C)C(C)(C)O2)cn1.CCOC(=O)c1cn(C(CC)CO)c2ccc(I)cc2c1=O,"CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)CO[Si](C)(C)C(C)(C)C)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(Br)cn1.CCOC(=O)c1cn(C(CC)CO)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2c1=O,CCN=C=O.CCOC(=O)c1cn(C(CC)CO)c2ccc(-c3cnc(N)cc3-c3nc(C(F)(F)F)cs3)cc2c1=O,CCN=C=O.CCOC(=O)c1cn(C(CC)CO)c2ccc(-c3cnc(N)cc3-c3nc(C(F)(F)F)cs3)cc2c1=O,CCNC(N)=O.CCOC(=O)c1cn(C(CC)CO)c2ccc(-c3cnc(Cl)cc3-c3nc(C(F)(F)F)cs3)cc2c1=O,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(Br)cn1.CCOC(=O)c1cn(C(CC)CO)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2c1=O,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)CO[Si](C)(C)C(C)(C)C)cn1,C=CC(CO)n1cc(C(=O)OCC)c(=O)c2cc(-c3cnc(NC(=O)NCC)cc3-c3nc(C(F)(F)F)cs3)ccc21,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(B2OC(C)(C)C(C)(C)O2)cn1.CCOC(=O)c1cn(C(CC)CO)c2ccc(Br)cc2c1=O,CCNC(=O)Cl.CCOC(=O)c1cn(C(CC)CO)c2ccc(-c3cnc(N)cc3-c3nc(C(F)(F)F)cs3)cc2c1=O"
COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(NC(=O)c4ccccc4C(F)(F)F)cc3)cc2C1=O,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(N)cc3)cc2C1=O.O=C(Cl)c1ccccc1C(F)(F)F,"COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(N)cc3)cc2C1=O.O=C(Cl)c1ccccc1C(F)(F)F,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(N)cc3)cc2C1=O.O=C(O)c1ccccc1C(F)(F)F,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc([NH3+])cc3)cc2C1=O.O=C(Cl)c1ccccc1C(F)(F)F,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(N)cc3)cc2C1=O.O=C(Br)c1ccccc1C(F)(F)F,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(N)cc3)cc2C1=O.O=C(OC(=O)c1ccccc1C(F)(F)F)c1ccccc1C(F)(F)F,COC(=O)[C@@H](C(C)C)N1Cc2ccc(-c3ccc(N)cc3)cc2C1=O.O=C(Cl)c1ccccc1C(F)(F)F,C=[N+]=[N-].COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(NC(=O)c4ccccc4C(F)(F)F)cc3)cc2C1=O,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(N)cc3)cc2C1=O.O=C(Br)c1ccccc1C(F)(F)F,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(I)cc3)cc2C1=O.NC(=O)c1ccccc1C(F)(F)F,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(Br)cc3)cc2C1=O.NC(=O)c1ccccc1C(F)(F)F"
O=C(O)CNC(=O)NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1,CCOC(=O)CNC(=O)NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1,"COC(=O)CNC(=O)NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1,CCOC(=O)CNC(=O)NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1,CC(C)(C)OC(=O)CNC(=O)NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1,NCC(=O)O.O=C=NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1,NCC(=O)O.O=C(O)CNC(=O)NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1,NCC(=O)O.O=C(O)NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1,,NCC(=O)O.O=C(NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1)OCc1ccccc1,NCC(=O)O.O=C(Cl)NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1,O=C(NCC(=O)OCc1ccccc1)NC(=O)C(CC1CCCC1)c1ccc(Cl)c(Cl)c1"
CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCN(C(=O)CCNC(=O)OC(C)(C)C)C4)no2)cc1C#N,CC(C)(C)OC(=O)NCCC(=O)O.CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCNC4)no2)cc1C#N,"CC(C)(C)OC(=O)NCCC(=O)O.CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCNC4)no2)cc1C#N,CC(C)(C)OC(=O)NCCC(=O)Cl.CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCNC4)no2)cc1C#N,CC(C)(C)OC(=O)NCCC(=O)O.CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[NH2+]C4)no2)cc1C#N,CC(C)(C)OC(=O)NCCC(=O)O,CC(C)(C)OC(=O)NCCC(=O)O.CCOc1ccc(-c2nc(-c3cccc4c3CCNC4)no2)cc1C#N,CC(C)(C)OC(=O)N1CCC(=O)C1.CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCNC4)no2)cc1C#N,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCNC4)no2)cc1C#N,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCNC4)no2)cc1C#N.CCOC(=O)CCNC(=O)OC(C)(C)C,CC(C)(C)OC(=O)NCCC=O.CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCNC4)no2)cc1C#N,"
COc1ccc(C2c3cncn3CCC2(C)C)cc1,COc1ccc(C2(O)c3cncn3CCC2(C)C)cc1,"COc1ccc(C2(O)c3cncn3CCC2(C)C)cc1,COc1ccc(C2c3cncn3CCC2(C)C)cc1,COc1ccc(C2(O)c3cncn3CCC2(C)C)cc1,COc1ccc(C2c3cncn3C=CC2(C)C)cc1,,COc1ccc(C2c3cncn3CCC2(C)C)cc1.COc1ccc([Mg+])cc1,COc1ccc(C2(O)c3cncn3CCC2(C)C)cc1,,COc1ccc(C(O)C2(C)CCn3cncc32)cc1,"
CCOC(=O)[C@@H]1O[C@H]1C(=O)NC(CC(C)C)c1ccccc1,CC(C)CC(N)c1ccccc1.CCOC(=O)[C@@H]1O[C@H]1C(=O)[O-],"CC(C)CC(N)c1ccccc1.CCOC(=O)[C@H]1O[C@@H]1C(=O)O,CCOC(=O)[C@H]1O[C@@H]1C(=O)NC(CC(C)C)c1ccccc1.O=C(OO)c1cccc(Cl)c1,CC(C)C[C@H](N)c1ccccc1.CCOC(=O)[C@H]1O[C@@H]1C(=O)O,CC(C)CC(N)c1ccccc1.CCOC(=O)[C@H]1O[C@@H]1C(=O)O,CCOC(=O)[C@H]1O[C@@H]1C(=O)NC(CC(C)C)c1ccccc1.OO,CC(C)C[C@@H](N)c1ccccc1.CCOC(=O)[C@H]1O[C@@H]1C(=O)O,CCOC(=O)C1OC1C(=O)NC(CC(C)C)c1ccccc1.O=C(OO)c1cccc(Cl)c1,CC(C)C[C@H](N)c1ccccc1.CCOC(=O)[C@H]1O[C@@H]1C(=O)O,CC(C)CC(N)c1ccccc1.CCOC(=O)[C@H]1O[C@H]1C(=O)O,CCOC(=O)[C@H]1O[C@H]1C(=O)NC(CC(C)C)c1ccccc1.O=C(OO)c1cccc(Cl)c1"
[N-]=[N+]=NC[C@H]1CCCC[C@@H]1N,CC(C)(C)OC(=O)N[C@H]1CCCC[C@@H]1CN=[N+]=[N-],"CC(C)(C)OC(=O)N[C@H]1CCCC[C@@H]1CN=[N+]=[N-],CC(C)(C)OC(=O)N[C@H]1CCCC[C@H]1CN=[N+]=[N-],CC(C)(C)OC(=O)N[C@@H]1CCCC[C@@H]1CN=[N+]=[N-],[N-]=[N+]=NC[C@H]1CCCC[C@@H]1NC(=O)OCc1ccccc1,[N-]=[N+]=NC[C@H]1CCCC[C@@H]1NC(=O)OCc1ccccc1,[N-]=[N+]=NC[C@H]1CCCC[C@@H]1[N+](=O)[O-],[N-]=[N+]=NC[C@H]1CCCC[C@@H]1N=[N+]=[N-],CC(C)(C)OC(=O)N[C@@H]1CCCC[C@H]1CN=[N+]=[N-],CC(C)(C)OC(=O)N[C@H]1CCCC[C@@H]1CN=[N+]=[N-],[N-]=[N+]=NC[C@@H]1CCCC[C@@H]1[N+](=O)[O-]"
